ID,Predicted Entities
18502,"['PROPER_NOUN', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O']"
18503,"['O', 'O', 'PROPER_NOUN', 'ABBREVIATION', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18504,"['PROPER_NOUN', 'PROPER_NOUN', 'PROPER_NOUN', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'PROPER_NOUN', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O']"
18505,"['PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18506,"['PROPER_NOUN', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'ABBREVIATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O']"
18507,"['PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18508,"['PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O']"
18509,"['PROPER_NOUN', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18510,"['PROPER_NOUN', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'PROPER_NOUN', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'PROPER_NOUN', 'ABBREVIATION', 'ABBREVIATION', 'PROPER_NOUN', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'PROPER_NOUN', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'PROPER_NOUN', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION', 'ABBREVIATION']"
18511,"['O', 'O', 'PROPER_NOUN', 'O', 'PROPER_NOUN', 'O', 'O']"
18512,"['PROPER_NOUN', 'PROPER_NOUN', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O']"
18513,"['PROPER_NOUN', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'ABBREVIATION', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'PROPER_NOUN', 'O', 'PROPER_NOUN']"
18514,"['PROPER_NOUN', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O']"
18515,"['PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O']"
18516,"['PROPER_NOUN', 'O', 'O', 'O', 'PROPER_NOUN']"
18517,"['PROPER_NOUN', 'O', 'PROPER_NOUN', 'PROPER_NOUN', 'ABBREVIATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O']"
18518,"['PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18519,"['PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18520,"['O', 'PROPER_NOUN', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18521,"['PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'ABBREVIATION', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'ABBREVIATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ABBREVIATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'PROPER_NOUN', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'ABBREVIATION', 'O']"
18522,"['PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18523,"['PROPER_NOUN', 'PROPER_NOUN', 'O']"
18524,"['PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18525,"['PROPER_NOUN', 'O', 'O', 'O', 'PROPER_NOUN', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18526,"['PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18527,"['PROPER_NOUN', 'O', 'PROPER_NOUN', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'ABBREVIATION']"
18528,"['PROPER_NOUN', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'PROPER_NOUN', 'O']"
18529,"['PROPER_NOUN', 'PROPER_NOUN', 'O', 'PROPER_NOUN', 'PROPER_NOUN', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'PROPER_NOUN', 'O']"
18530,"['PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O']"
18531,"['PROPER_NOUN', 'O', 'O', 'O']"
18532,"['PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O']"
18533,"['PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'PROPER_NOUN']"
18534,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18535,"['O', 'O', 'O', 'O', 'PROPER_NOUN', 'O']"
18536,"['PROPER_NOUN', 'O', 'PROPER_NOUN', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O']"
18537,"['PROPER_NOUN', 'O', 'O', 'O']"
18538,"['PROPER_NOUN', 'O', 'PROPER_NOUN', 'O', 'PROPER_NOUN', 'PROPER_NOUN', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'PROPER_NOUN', 'O', 'O']"
18539,"['PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'PROPER_NOUN', 'O', 'O']"
18540,"['PROPER_NOUN', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18541,"['PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN']"
18542,"['PROPER_NOUN', 'O', 'PROPER_NOUN', 'PROPER_NOUN', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'PROPER_NOUN', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18543,"['PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O']"
18544,"['PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN']"
18545,"['PROPER_NOUN', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O']"
18546,"['PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18547,"['PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O']"
18548,"['PROPER_NOUN', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O']"
18549,"['PROPER_NOUN', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O']"
18550,"['PROPER_NOUN', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'PROPER_NOUN', 'PROPER_NOUN', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O']"
18551,"['PROPER_NOUN', 'O', 'PROPER_NOUN', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN']"
18552,"['O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'O', 'PROPER_NOUN', 'O', 'O', 'O', 'PROPER_NOUN', 'O']"
18553,"['PROPER_NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROPER_NOUN']"
